timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
88252379,-0.00670832,-0.0421002,-0.0205556,0.0
88452154,-0.00741819,-0.0454752,-0.0227121,0.0
88650834,-0.00773312,-0.0386381,-0.0252579,0.0
88850765,-0.0119566,-0.0366952,-0.0277297,0.0
89050777,-0.00825009,-0.0370187,-0.0293244,0.0
89249378,-0.00448643,-0.0384319,-0.0302354,0.0
89449311,-0.0124379,-0.0395734,-0.0302775,0.0
89652986,-0.0154462,-0.0397844,-0.0306893,0.0
89851718,-0.0138559,-0.0427961,-0.030857,0.0
90051586,-0.0071365,-0.0451499,-0.0275824,0.0
90250281,-0.0086968,-0.0456496,-0.0235441,0.0
90450206,-0.00745837,-0.047062,-0.0210437,0.0
90650224,-0.0114191,-0.0441087,-0.0180877,0.0
90848820,-0.0145818,-0.043678,-0.0138501,0.0
91050002,-0.0133154,-0.0452749,-0.0180373,0.0
91253659,-0.0167512,-0.0477987,-0.0232156,0.0
91452379,-0.0241911,-0.040553,-0.0260166,0.0
91651035,-0.0225962,-0.0413704,-0.0262933,0.0
91850968,-0.0268198,-0.0438148,-0.0276498,0.0
92049649,-0.0277808,-0.0452533,-0.0277985,0.0
92249580,-0.0282118,-0.0455607,-0.0247586,0.0
92451996,-0.0186581,-0.0455896,-0.0222661,0.0
92651927,-0.02355,-0.0458081,-0.0210957,0.0
92851864,-0.0247505,-0.0439332,-0.0164526,0.0
93050548,-0.0220683,-0.0421122,-0.013161,0.0
93250477,-0.0277226,-0.0403828,-0.0160547,0.0
93450408,-0.027297,-0.0426987,-0.0182505,0.0
93649113,-0.0267355,-0.0464151,-0.0208878,0.0
93852759,-0.0284325,-0.0411317,-0.0219574,0.0
94051445,-0.0287852,-0.040572,-0.0215984,0.0
94251371,-0.0284028,-0.0422165,-0.0198781,0.0
94450232,-0.0303558,-0.0475831,-0.0172789,0.0
94649993,-0.0300743,-0.0514899,-0.0145429,0.0
94849931,-0.0319773,-0.0530541,-0.0114355,0.0
95049857,-0.0235176,-0.0529118,-0.0105583,0.0
95252434,-0.0286544,-0.0538165,-0.0112856,0.0
95452204,-0.0295203,-0.0527291,-0.0121932,0.0
95650883,-0.0313478,-0.0485077,-0.0129333,0.0
95850828,-0.0304528,-0.0458168,-0.0145939,0.0
